"key","kills","kills_km","days","deer_hours","hours_km","init_nhat","dhat","species","p_kill","pc_kill","kills_hour","se_nhat"
"ACT 2019",166,1.19424460431655,3,19,0.136690647482014,549,3.94964028776978,"Fallow",0.302367941712204,30.2367941712204,8.73684210526316,236
"GFD 2017",63,7.875,3,3.916,0.4895,114,14.23,"Chital",0.552631578947368,55.2631578947368,16.0878447395301,46
"GFD 2018",64,3.76470588235294,1,3.867,0.227470588235294,73,4.32,"Chital",0.876712328767123,87.6712328767123,16.5502973881562,37
"GI 2020",778,5.76296296296296,3,19.9956893649135,0.148116217517878,1869,13.84,"Fallow",0.416265382557517,41.6265382557517,38.9083859926909,424
"GL 2019",27,0.0854430379746835,1,2.623611,0.0083025664556962,511,1.61708860759494,"Fallow",0.0528375733855186,5.28375733855186,10.2911597794033,70.52
"MDG 2017",557,12.1086956521739,5,17.1817262662083,0.373515788395832,1153,25.0652173913043,"Fallow",0.483087597571552,48.3087597571552,32.4181628417318,519
"MDG 2018",102,2.21739130434783,2,3.9,0.0847826086956522,135,2.93478260869565,"Fallow",0.755555555555556,75.5555555555556,26.1538461538462,42
"MVL 2017",52,7.42857142857143,2,3.666,0.523714285714286,68,9.69,"Chital",0.764705882352941,76.4705882352941,14.1843971631206,24
"NSP 2016",162,2.7,1,5.66,0.0943333333333333,328.2,5.47,"Chital",0.493601462522852,49.3601462522852,28.6219081272085,69
"PB 2020",374,2.11898016997167,6,16.0396763721182,0.0908763533831057,1362,7.72,"Fallow",0.274596182085169,27.4596182085169,23.3171786838621,360
"WT 2018",4596,9.34146341463415,12,74.21,0.150833333333333,18204,37,"Fallow",0.252471984179301,25.2471984179301,61.9323541301711,7637
"WT 2019",3755,7.63211382113821,10,87.04,0.176910569105691,15050,30.5894308943089,"Fallow",0.249501661129568,24.9501661129568,43.1410845588235,5203
